"","WMU","Id","d_PCIntra","d_PCFlux","d_PCCon","time_diff"
"122","4U","122","2.853578021503314E-11","4.2009389155802435E-6",0,19.2439049005508
"123","4U","123","0.0015774358150989316","0.05750664955357226",0.00205214201379208,19.2439049005508
"124","4U","124","2.8535780214811454E-11","5.711169246772264E-6",0,19.2439049005508
"125","4U","125","7.133945053935636E-10","2.2009680670644772E-5",4.31619849730768e-08,19.2439049005508
"126","4U","126","1.1414312086367959E-10","1.285692149423428E-5",8.83996025215376e-08,19.2439049005508
"127","4U","127","2.568220219430795E-8","1.8184194648213268E-4",1.54425144637712e-11,19.2439049005508
"128","4U","128","4.750180117840635E-6","0.0030005022555163897",6.66041151426675e-05,19.2439049005508
"129","4U","129","1.1414312086367959E-10","1.4357236052509355E-5",0,19.2439049005508
"130","4U","130","1.1414312086279286E-10","1.2912553624773068E-5",2.04328045749718e-06,19.2439049005508
"131","4U","131","2.8535780214811454E-11","4.4172169914897995E-6",0,19.2439049005508
"132","4U","132","3.8288080001417616E-4","0.02927410177197245",0.00353788265127292,19.2439049005508
"133","4U","133","1.3982532305738674E-9","2.973329378334294E-5",7.5404057736383e-10,19.2439049005508
"134","4U","134","2.8535780216584958E-11","4.381602003060304E-6",0,19.2439049005508
"135","4U","135","1.1414312086367959E-10","8.816520581157776E-6",3.7676424008575e-08,19.2439049005508
"136","4U","136","2.853578021680666E-11","6.063048285113731E-6",0,19.2439049005508
"137","4U","137","2.853578021503314E-11","6.078398327174893E-6",1.33178546957294e-12,19.2439049005508
"138","4U","138","2.568220219446092E-10","1.107417619321251E-5",0,19.2439049005508
"139","4U","139","4.565724834591522E-10","1.692696453558625E-5",0,19.2439049005508
